team,name,position,matches,goals,assists,status
Las Palmas,J. Campana,M,0,0,0,Injured
Las Palmas,Pejino,M,0,0,0,Injured
Las Palmas,Sandro,F,0,0,0,Injured
Las Palmas,O. McBurnie,F,0,0,0,Injured
Leganes,E. Franquesa,D,0,0,0,Injured
Leganes,O. Rodriguez,M,0,0,0,Suspended
Leganes,J. Saenz,D,0,0,0,Suspended
Leganes,R. Tapia,M,0,0,0,Injured
Mallorca,S. Costa,M,0,0,0,Injured
Osasuna,Jose,F,0,0,0,Injured
Osasuna,B Zaragoza,F,0,0,0,Injured
Osasuna,K. Barja,F,0,0,0,Injured
Rayo Vallecano,P.Fernandez ,D,0,0,0,Injured
Rayo Vallecano,R. de Tomas ,F,0,0,0,Injured
Rayo Vallecano,J. Rodriguez,M,0,0,0,Injured
Rayo Vallecano,J. Montiel,M,0,0,0,Injured
Rayo Vallecano,A. Batalla,G,0,0,0,Injured
Rayo Vallecano,P. Diaz,M,0,0,0,Injured
Rayo Vallecano,S. Camello,F,0,0,0,Injured
Rayo Vallecano,A. Garcia,M,0,0,0,Injured
Betis,Hector Bellerin,D,0,0,0,Injured
Betis,Nobel Mendy,M,0,0,0,Injured
Betis,William Carvalho,M,0,0,0,Injured
Betis,Marc Roca,M,0,0,0,Injured
Real Madrid,D. Alaba,D,0,0,0,Injured
Real Madrid,A. Rudiger,D,0,0,0,Injured
Real Madrid,Eder Militao,D,0,0,0,Injured
Real Madrid,Daniel Carvajal,D,0,0,0,Injured
Real Madrid,L. Vazquez,M,0,0,0,Injured
Real Sociedad,Hamari Traore,D,0,0,0,Injured
Real Sociedad,N. Aguerd,D,0,0,0,Injured
Real Sociedad,I. Zubeldia,D,0,0,0,Suspended
Sevilla,Chidera Ejuke,F,0,0,0,Injured
Sevilla,T. Nianzou,D,0,0,0,Injured
Sevilla,D. Sow,M,0,0,0,Injured
Valladolid,L. Rosa,D,0,0,0,Injured
Valladolid,S. Juric,M,0,0,0,Injured
Valladolid,R. Moro,F,0,0,0,Injured
Valladolid,K. Hein,G,0,0,0,Injured
Valladolid,M. Sylla,F,0,0,0,Injured
Valencia,F. Perez,M,0,0,0, Injured
Valencia,Mouctar Diakhaby,D,0,0,0,Injured
Valencia,J. Gaya,D,0,0,0,Injured
Valencia,Thierry Correia ,D,0,0,0,Injured
Valencia,G. Mamardashvili ,G,0,0,0,Injured
Valencia,R. Mir,F,0,0,0,Injured
Villarreal,llis Akhomach,M,0,0,0,Injured
Villarreal,Nicolas Pepe,F,0,0,0,Injured
Villarreal,A. Perez,F,0,0,0,Injured
Villarreal,Alfonso Pedraza,M,0,0,0, Injured
Villarreal,D. Conde,G,0,0,0,Injured
Villarreal,Y. Pino,M,0,0,0,Suspended
team,name,position,matches,goals,assists,status
Milan,Samuel Chukwueze,F,0,0,0,Injured
Milan,Tommaso Pobega,M,0,0,0,Suspended
Milan,Alessandro Florenzi,M,0,0,0,Injured
Atalanta,Mateo Retegui,F,0,0,0,Suspended
Atalanta,Gianluca Scamacca,F,0,0,0,Injured
Atalanta,Juan Cuadrado,D,0,0,0,Injured
Atalanta,El Bilal Toure,F,0,0,0,Injured
Bologna,Stefan Posch,D,0,0,0,Injured
Bologna,Michel Aebischer,M,0,0,0,Injured
Bologna,Oussama Azzouzi ,M,0,0,0,Injured
